"","itemList","NA"
"1","@thepark-LSH  14-10-17","pp,t&d"
"2","B-Montessori 26-11-2015","pp,t&d"
"3","B.P.-G8 22-08-17","fs,nb-m,pp,t&d"
"4","B.T.-G8 2017-02-22","fs,nb-m,pp,t&d"
"5","B.T.-G8 2017-03-14","fs,nb-m,pp,t&d"
"6","B.T.-G8 2017-04-21","fs,nb-m,pp,t&d"
"7","B.T.-G8 2017-06-07","fs,nb-m,pp,t&d"
"8","B.T.-G8 2017-10-10","fs,pp,t&d"
"9","B.T.-G8 2017-10-11","fs,pp,t&d"
"10","B.T.-G8 2017-10-12","fs,pp,t&d"
"11","B.T.-G8 2017-10-13","fs,pp,t&d"
"12","B.T.-G8 2017-10-14","pp,t&d"
"13","B.T.-G8 2017-10-15","pp,t&d"
"14","B.T.-G8 2017-10-16","pp,t&d"
"15","B.T.-G8 2017-10-17","pp,t&d"
"16","B.T.-G8 2017-10-18","pp,t&d"
"17","B.T.-G8 2017-10-19","pp,t&d"
"18","B.T.-G8 22-07-06","pp,t&d"
"19","B.T.-G8 22-08-17","pp,t&d"
"20","B.T.-G8 22-08-18","fs,nb-m,pp,t&d"
"21","B2T 30-04-15","pp,t&d"
"22","BJTP-G8 2017-05-02","pp,t&d"
"23","C.L.-G8 22-08-17","t&d"
"24","Cambri-Fern 2017-10-09","pp,t&d"
"25","Cambri-M.H 16-09-17","ifak,pp,t&d"
"26","Cambri-M.H 16-09-18","ifak,pp,t&d"
"27","Cambri-RQ 2017-10-09","pp,t&d"
"28","Cambri-SG 2017-10-11","pp,t&d"
"29","Cambri-SK 2017-10-12","pp,t&d"
"30","Cardi-M.P 22-08-17","fs,nb-m,pp,t&d"
"31","CreaO 2017-02-20","pp,t&d"
"32","CreaO 2017-04-01","fs,ifak,ifak,pp,pp,t&d,t&d"
"33","D.C-G8 22-08-17","bike,bike,fs,nb-m"
"34","K.L.-G8 22-08-17","pp,t&d"
"35","LSH-BTV 2017-05-11","ifak,nb-m,pp,t&d"
"36","OCBC-LSH 26-04-17","pp,t&d"
"37","OCBC-LSH 26-07-10","bike,bike,fs,nb-m"
"38","P.B.-G8 22-08-17","fs,ifak,pp,t&d"
"39","S.B.-G8 22-08-17","fs,nb-m,pp,t&d"
"40","S.L.C.C. 2017-11-01","pp,t&d"
"41","T.K.-G8 22-08-17","pp,t&d"
"42","T.P.-G8 22-08-17","bike,bike,fs,nb-m"
"43","TP-LSH 2017-10-20","pp,t&d"
"44","TS34-G8 22-08-17","pp,t&d"
"45","TS42-G8 22-08-17","pp,t&d"
"46","U.T.-G8 07-04-17","bike,bike,fs,nb-m"
"47","U.T.-G8 22-08-17","ifak,pp,t&d"
"48","Ubi.-G8 22-08-17","fs,ifak,pp"
"49","W.L.-G8 22-08-17","fs,nb-m,pp,t&d"
